recipe_id,total_co2,emission_class,diet_labels,total_weight,number_of_ingredients
102,18824.56233354294,F,['High-Fiber'],5022.728619216345,17
103,10094.274098232521,F,['Low-Carb'],1223.0801027806767,7
104,16149.920825938832,G,['Low-Carb'],2742.3850219518868,12
105,15164.473186811998,G,"['High-Fiber', 'Low-Carb']",2583.0,8
106,14907.44211,G,['Low-Carb'],1519.8358961494846,4
107,19836.076498082773,G,[],2380.538881700715,7
108,13851.800953578977,G,['Low-Carb'],2236.9288512572166,6
109,7573.101694023298,F,[],911.952905880153,11
110,21594.628302013374,G,[],2882.6833466665043,17
111,7281.46308970749,F,[],960.784036666802,11
112,16220.600446386454,G,['High-Fiber'],2105.7360612612433,12
113,32988.98336501,G,['Low-Carb'],4453.346004103186,9
114,17799.941477923556,E,['Low-Carb'],2326.515767886598,9
115,19132.298955126065,F,['Balanced'],2723.661382883058,13
116,10109.859764874998,G,['Low-Fat'],1397.3904625,6
117,5173.00565183935,F,['High-Fiber'],868.1480112492055,11
118,16034.28070721564,G,['Low-Carb'],1740.985622538713,5
119,6827.874069955764,E,[],1076.9740402609323,7
120,21941.150022710783,G,[],2356.678181030865,10
121,7352.147147183432,E,[],2731.039994610522,12
122,24896.86629672113,G,"['High-Protein', 'Low-Carb']",3296.180191855735,11
123,15042.841404039198,G,"['High-Protein', 'Low-Carb']",1562.425,7
124,9189.73100132867,E,['Low-Carb'],1621.3052216666665,11
125,13060.4250453152,G,['Low-Carb'],1953.8809250000002,9
126,13178.912649207785,G,['Low-Carb'],1929.0267275567792,11
127,8452.35632395412,F,"['High-Protein', 'Low-Sodium']",1228.1395966663194,10
128,16032.105965649998,G,['Low-Carb'],1654.8069658211084,6
129,4619.096871162,E,[],499.86737,4
130,16646.38560696709,F,"['High-Protein', 'Low-Carb']",1875.649573874631,9
131,8121.700833156836,F,"['High-Protein', 'Low-Sodium']",1206.871027905865,11
132,95477.3542876195,G,[],2264.2991516191,10
133,8390.52593443233,F,['Low-Carb'],936.7769999861717,8
134,16096.103703712379,G,['High-Fiber'],2821.18331273823,10
135,9618.88212135275,G,[],1118.8236191846756,12
136,5854.449734913108,D,[],912.9904625,4
137,10750.532516958343,G,['High-Fiber'],1657.7693606948128,11
138,9310.4573838,F,[],1016.7737966396269,5
139,17823.45755822747,G,['Low-Carb'],1654.7739832122602,13
140,9078.972228450324,F,['Low-Carb'],966.4222364593611,10
141,11429.26557275654,G,"['High-Protein', 'Low-Carb']",1485.3705078000407,13
142,18854.30475921475,G,[],1925.1400898028855,12
143,8847.680378784,F,[],1730.25,8
144,37415.46351732051,G,['Low-Carb'],4037.5850796867235,13
145,11969.730676468924,F,"['High-Protein', 'Low-Carb']",1388.196609648369,12
146,6995.138584364094,G,['High-Fiber'],944.2512718065321,8
147,7911.584939291755,F,[],1095.1342125008987,10
148,8530.523169442065,F,[],1333.1316666661153,8
149,2099.519229706,E,['Low-Carb'],260.2785,5
150,28105.996333332903,G,['Low-Carb'],2998.366666666396,11
151,14775.908154506662,F,['Low-Carb'],1454.5723610927835,6
152,5682.16943574085,G,"['High-Fiber', 'Low-Carb']",803.4712178596378,6
153,10175.522567153565,E,['Low-Carb'],1784.695537833899,13
154,15497.260190126126,G,[],2392.0501637889824,14
155,30886.885,G,[],2811.5,5
156,12037.2662529686,G,[],1380.1809250000001,10
157,17059.742703477423,G,['Low-Carb'],1846.4213875,4
158,9862.448244178222,F,"['Low-Carb', 'Low-Sodium']",1019.7640436995923,10
159,17526.360468024697,G,"['High-Fiber', 'Low-Carb']",2914.7866475,15
160,19867.91783108084,F,['Low-Carb'],1945.5911371444802,7
161,13248.044220000598,F,['Low-Carb'],1351.3245478505155,6
162,20635.212411580094,G,['High-Fiber'],2634.362026633384,13
163,8995.142016170323,F,['High-Fiber'],1529.323907244885,15
164,7231.709483021165,F,['High-Protein'],1104.7859899997334,6
165,11904.344226657886,F,"['High-Protein', 'Low-Carb']",1872.4999999999327,11
166,7986.287195986442,F,['High-Fiber'],1857.6631021568733,8
167,48945.862648171875,F,['Low-Carb'],5506.070186232001,6
168,10302.509979999062,G,['Low-Carb'],1178.2012043157183,8
169,13087.125775,G,['Low-Carb'],1590.0,6
170,5728.110034895777,G,[],815.881258888889,7
171,64975.38962402681,G,[],2608.9428906110147,13
172,13736.539999999999,G,['High-Protein'],1504.0,5
173,8191.691394237329,E,[],1029.8843154606748,11
174,17183.482036925467,G,[],1961.5108785008524,12
175,14342.436992822044,G,['Low-Carb'],1807.0114876139667,11
176,11377.506593405391,G,"['High-Protein', 'Low-Carb']",1419.4999999988504,4
177,8680.244584229149,F,[],1358.1723228317983,12
178,19148.553363600142,G,['Low-Carb'],2108.2806946167225,12
179,17386.920668978713,G,['Low-Carb'],2112.9559859642386,14
180,13756.971396723697,G,"['High-Protein', 'Low-Carb']",1855.3968369306845,10
181,14844.474224205998,G,"['High-Protein', 'High-Fiber']",2447.1336693141434,12
182,17447.178276564,E,['Balanced'],3023.25,5
183,13387.50016128962,F,['Low-Carb'],2926.70041842801,14
184,15180.528557420555,G,['High-Fiber'],2325.4315450681443,12
185,15294.864021309973,G,[],2196.421371941137,13
186,5504.607888337999,G,[],659.3274122837527,13
187,16800.357088316665,G,['Low-Carb'],1981.4066283333334,6
188,4408.076231144678,F,[],727.3586849996037,10
189,5672.877712201343,F,['Low-Carb'],724.6920681048924,12
190,8981.765634632333,F,[],1104.9936206645016,10
191,12363.031695818885,G,[],2096.2985144690156,15
192,13530.261827457427,F,['Low-Carb'],1587.2177287927248,4
193,20744.610517590303,G,[],2901.0528030117252,15
194,7273.00169324375,E,[],870.349523125,6
195,7532.415217173276,F,['Low-Carb'],1455.729248836438,6
196,9824.90265440255,G,['High-Fiber'],1345.7103405271716,7
197,12014.121637554,G,['High-Fiber'],2231.996783875,8
198,19460.936237336897,G,[],1895.5895330649323,6
199,9944.733746975005,F,['High-Protein'],1442.5328325000128,6
